DEBUG - Starting new HTTPS connection (1): www.programiz.com:443
DEBUG - https://www.programiz.com:443 "GET /dsa/dijkstra-algorithm HTTP/1.1" 200 None
DEBUG - request status code: 200
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>.sub-menu.sub-menu--pc.sub-menu--pc--pro
DEBUG - Removing unlikely candidate - .col-sm-10>.sub-menu__wrap
DEBUG - Removing unlikely candidate - .tabbed-content__right>#t-learning-paths.sub-menu__contents.sub-menu__contents--learning-paths
DEBUG - Removing unlikely candidate - #t-learning-paths.sub-menu__contents.sub-menu__contents--learning-paths>.sub-menu__links
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--right-pro>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>.sub-menu.sub-menu--pc.sub-menu--pc--tutorial
DEBUG - Removing unlikely candidate - .col-sm-10>.sub-menu__wrap
DEBUG - Removing unlikely candidate - .tabbed-content__right>#t-python.sub-menu__contents.sub-menu__contents--python
DEBUG - Removing unlikely candidate - #t-python.sub-menu__contents.sub-menu__contents--python>.sub-menu__cta
DEBUG - Removing unlikely candidate - .sub-menu__cta>.d-flex.sub-menu--desktop-banner
DEBUG - Removing unlikely candidate - #t-python.sub-menu__contents.sub-menu__contents--python>.sub-menu__links
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--left>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--right>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>.sub-menu.sub-menu--pc.sub-menu--pc--examples
DEBUG - Removing unlikely candidate - .col-sm-10>.sub-menu__wrap
DEBUG - Removing unlikely candidate - .tabbed-content__right>#examples-python.sub-menu__contents.sub-menu__contents--python
DEBUG - Removing unlikely candidate - #examples-python.sub-menu__contents.sub-menu__contents--python>.sub-menu__cta
DEBUG - Removing unlikely candidate - .sub-menu__cta>.d-flex.sub-menu--desktop-banner
DEBUG - Removing unlikely candidate - #examples-python.sub-menu__contents.sub-menu__contents--python>.sub-menu__links
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--left>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .left-bar.left-bar--large-r-margin.d-none.d-lg-block>.menu-with-accordion.mb-10x.mobile-sidebar-tab
DEBUG - Removing unlikely candidate - .menu-with-accordion.mb-10x.mobile-sidebar-tab>ul.topmenu
DEBUG - Removing unlikely candidate - li>h3.show-accordion--header
DEBUG - Removing unlikely candidate - .left-bar.left-bar--large-r-margin.d-none.d-lg-block>.view.view-related-topics-sidebar-second-before-sticky-ad-.view-id-related_topics_sidebar_second_before_sticky_ad_.view-display-id-block_6.views-sidebar.view-dom-id-19012c2641b6bd9256fd79d81350dd18
DEBUG - Removing unlikely candidate - .view-content>.card-alt.mb-10x.d-block.mobile-sidebar-tab
DEBUG - Removing unlikely candidate - .left-bar.left-bar--large-r-margin.d-none.d-lg-block>.sticky-sidebar-advertisement.ad3
DEBUG - Removing unlikely candidate - .block>.pagination-area
DEBUG - Removing unlikely candidate - .pagination-area>.pagination-area__btn.pagination-area__btn--prev
DEBUG - Removing unlikely candidate - .pagination-area__btn.pagination-area__btn--prev>a.btn.pagination-btn.d-flex.align-items-center.justify-content-end
DEBUG - Removing unlikely candidate - .pagination-area>.pagination-area__btn.pagination-area__btn--next
DEBUG - Removing unlikely candidate - .pagination-area__btn.pagination-area__btn--next>a.btn.btn--primary.pagination-btn.d-flex.align-items-center.justify-content-end
DEBUG - Removing unlikely candidate - div{01}>.form-item.webform-component.webform-component-markup.webform-component--page-feedback-header
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>footer.footer
DEBUG - Removing unlikely candidate - .col-sm-12>#mauticform_wrapper_generalsubscribersformmobile.sp-footer-form.d-block.d-md-none.mauticform_wrapper
DEBUG - Removing unlikely candidate - .mauticform-innerform>.footer__form__title
DEBUG - Removing unlikely candidate - .col-xl-4.col-lg-5.col-md-6.d-none.d-md-block>.footer__content
DEBUG - Removing unlikely candidate - .footer__content>object.footer__logo
DEBUG - Removing unlikely candidate - #mauticform_wrapper_generalsubscribersform.mauticform_wrapper>form#mauticform_generalsubscribersform.footer__form
DEBUG - Removing unlikely candidate - .mauticform-innerform>.footer__form__title
DEBUG - Removing unlikely candidate - .footer__content>.footer__vendor-btn
DEBUG - Removing unlikely candidate - .footer__vendor-btn>.footer__vendor-btn__row
DEBUG - Removing unlikely candidate - .footer__vendor-btn>.footer__vendor-btn__row
DEBUG - Removing unlikely candidate - .col-lg-2.col-md-3.col-xs-6>.footer__link-area
DEBUG - Removing unlikely candidate - .footer__link-area>h4.footer__link-area__title
DEBUG - Removing unlikely candidate - .footer__link-area>ul.footer__links
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - .col-lg-2.col-md-3.col-xs-6>.footer__link-area
DEBUG - Removing unlikely candidate - .footer__link-area>h4.footer__link-area__title
DEBUG - Removing unlikely candidate - .footer__link-area>ul.footer__links
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - .col-lg-2.col-md-3.col-xs-6>.footer__link-area
DEBUG - Removing unlikely candidate - .footer__link-area>h4.footer__link-area__title
DEBUG - Removing unlikely candidate - .footer__link-area>ul.footer__links
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - .col-lg-2.col-md-3.col-xs-6>.footer__link-area
DEBUG - Removing unlikely candidate - .footer__link-area>h4.footer__link-area__title
DEBUG - Removing unlikely candidate - .footer__link-area>ul.footer__links
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - ul.footer__links>li.footer__links__nodes
DEBUG - Removing unlikely candidate - .d-flex.justify-content-center>.footer__vendor-btn__row
DEBUG - Removing unlikely candidate - .d-flex.justify-content-center>.footer__vendor-btn__row
DEBUG - Removing unlikely candidate - .container>.footer__end
DEBUG - Branch 84.420 #node-1063.node.node-algorithm.clearfix>.content link density 0.001 -> 84.298
DEBUG - Branch 32.210 .editor-contents>#node-1063.node.node-algorithm.clearfix link density 0.001 -> 32.164
DEBUG - Branch 111.000 .code-editor.code-editor--tabbed>#python-code.code-editor__area link density 0.000 -> 111.000
DEBUG - Branch 121.500 .content>.code-editor.code-editor--tabbed link density 0.000 -> 121.500
DEBUG - Branch 65.000 .code-editor.code-editor--tabbed>#java-code.code-editor__area link density 0.000 -> 65.000
DEBUG - Branch 29.000 .code-editor.code-editor--tabbed>#c-code.code-editor__area link density 0.000 -> 29.000
DEBUG - Branch 48.000 .code-editor.code-editor--tabbed>#cpp-code.code-editor__area link density 0.000 -> 48.000
DEBUG - Top 5 : 121.500 .content>.code-editor.code-editor--tabbed
DEBUG - Top 5 : 111.000 .code-editor.code-editor--tabbed>#python-code.code-editor__area
DEBUG - Top 5 : 84.298 #node-1063.node.node-algorithm.clearfix>.content
DEBUG - Top 5 : 65.000 .code-editor.code-editor--tabbed>#java-code.code-editor__area
DEBUG - Top 5 : 48.000 .code-editor.code-editor--tabbed>#cpp-code.code-editor__area
INFO - type of dense tag: <class 'str'>
